A,B,C,D,Distractor 1,,Distractor 2,,Distractor 3,
conclusion,essay,scene,play,theme,song,meal,dessert,parade,party
locker,storage,telephone,communication,wallet,cash,pencil,paper,lake,moisture
excruciating,painful,baffling,confusing,upsetting,exciting,improving,hopeful,crippling,stressful
fame,obscurity,sorrow,joy,peace,harmony,music,art,knowledge,wisdom
heirloom,inherited,sermon,religious,ship,wooden,newspaper,popular,coupon,valuable
sunscreen,sunburn,vaccination,disease,hope,tornado,carelessness,accident,dream,sleep
aluminum,metal,limerick,poetry,mathematics,numbers,rain,season,water,thirst
active,idle,brief,lengthy,challenging,difficult,dramatic,tragic,scholarly,studious
hasty,patience,unqualified,credentials,unskilled,magic,terrified,logic,gullible,belief
klutz,clumsy,cold,contagious,priest,evil,car,broken,vegetable,green
epidemic,widespread,emergency,urgent,artist,idealistic,island,lonesome,intention,challenged
note,melody,bone,skeleton,movie,film,meal,restaurant,career,job
lifejacket,boat,seatbelt,plane,medicine,disease,shield,sword,hat,helmet
devout,religious,hyper,energetic,depressed,angry,fit,strong,cruel,strange
hidden,visible,flimsy,sturdy,spicy,delicious,tasteful,classy,elevated,escalated
cough,cold,disagreement,argument,fever,issue,problem,solution,room,hotel
veins,circulate,ornaments,decorate,calculators,think,boots,spring,laws,enforce
assassination,murder,relay,race,document,certificate,beverage,drink,technology,robot
ignite,extinguish,harvest,plant,rest,relax,investigate,trust,remove,confiscate
elderly,youth,well,illness,famous,popularity,rational,proof,smug,satisfaction
honor,disgrace,safety,peril,comfort,pleasure,sanity,sense,anger,rage
whisper,quiet,folktale,traditional,whip,evil,disease,curable,meal,satisfying
island,archipelago,article,newspaper,anchor,aircraft,archive,album,ocean,iceberg
patience,virtue,denial,reaction,essay,story,currency,credit,faith,religion
kiss,affection,message,information,smile,fear,joke,importance,television,actors
network,connect,statue,memorialize,funeral,eliminate,telephone,hear,device,create
devastated,damaged,prevalent,common,unusual,weird,unkind,hurtful,incredible,mundane
algebra,mathematics,rain,precipitation,bronze,metal,tradition,culture,trade,economy
uninhibited,restraint,generous,selfishness,overweight,shape,unhealthy,control,intelligent,thought
offer,request,damage,repair,enjoy,entertain,experience,participate,endure,continue